style_number, astro_sign
36906, ERROR
36012, ERROR
36012, Leo
36935, Sagittarius
36049, Sagittarius
36501, ERROR
36800, Leo
36901, ERROR
36003, ERROR
36069, Sagittarius
36003, ERROR
36003, ERROR
36918, Aquarius
36032, Aquarius
36032, Aquarius
36500, ERROR
36900, ERROR
36000, Leo
36544, Taurus
36954, Taurus
36054, Taurus
36515, Capricorn
36916, Capricorn
36030, Capricorn
36917, Aquarius
36050, Sagittarius
36549, Leo
36965, Leo
36065, Leo
36504, ERROR
36903, ERROR
36007, ERROR
36001, ERROR
36577, Leo
36977, Leo
36077, Leo
36509, Scorpio
36908, Scorpio
36014, Scorpio
36705, Libra
36002, ERROR
36502, ERROR
36907, Gemini
N/A, ERROR
36005, ERROR
36005, ERROR
36970, Sagittarius
36070, Sagittarius
04248, Pisces
04255, Gemini
04254, Pisces
04304, Gemini
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04408, ERROR
04620, ERROR
04385, Pisces
40361, Leo
04340, Cancer
04292, Taurus
40562, Pisces
40476, Aquarius
04512, Virgo
04575, Cancer
40645, Leo
40685, Sagittarius
40225, Aquarius
04804, ERROR
04212, Gemini
48423, ERROR
04417, Sagittarius
46075, ERROR
46017, ERROR
40292, ERROR
40083, ERROR
44206, ERROR
40415, Cancer
04308, Cancer
04354, Libra
04803, ERROR
04227, Libra
04285, Aquarius
40456, Pisces
04615, Aquarius
04045, Libra
4016, Gemini
04603, Libra
04985, Aquarius
04078, Cancer
40482, Cancer
04183, Virgo
49014, ERROR
04085, ERROR
46038, ERROR
04601, Sagittarius
04601, Sagittarius
04374, Taurus
04528, ERROR
48412, ERROR
40653, Pisces
40124, Sagittarius
04536, Aries
40266, Leo
40266, Leo
40266, Leo
47080, Scorpio
40022, Leo
04567, Scorpio
44046, ERROR
44046, Aries
04067, Leo
04067, Leo
04001, Capricorn
04595, Libra
40351, Cancer
40344, ERROR
04424, Cancer
40343, Taurus
04596, Taurus
04163, Sagittarius
40248, Aquarius
40628, ERROR
40010, Libra
04436, Pisces
04011, Cancer
40152, Libra
49009, Pisces
47092, Virgo
04253, ERROR
40186, Gemini
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
None, ERROR
48422, ERROR
40888, ERROR
40839, ERROR
40839, ERROR
40900, ERROR
46136, Scorpio
40104, Cancer
40120, Aquarius
04980, Libra
40156, Virgo
04009, Cancer
40678, Cancer
04109, Libra
40239, Capricorn
44100, ERROR
40489, ERROR
40039, Sagittarius
40039, Sagittarius
04397, Leo
04211, Aquarius
46072, Scorpio
04429, Scorpio
46062, Gemini
40613, Libra
48428, ERROR
40464, Taurus
40085, Libra
04543, Scorpio
40221, Sagittarius
47030, ERROR
04316, Cancer
40385, Leo
04544, Sagittarius
47029, Leo
40187, Leo
04074, Aquarius
44024, ERROR
36031, Aquarius
40177, Sagittarius
40425, ERROR
40222, ERROR
04535, Capricorn
40448, ERROR
40424, ERROR
40223, ERROR
04534, Pisces
42007, Aries
40376, Aries
40422, Scorpio
40279, Libra
40095, Aquarius
04379, Libra
44116, Scorpio
40578, Scorpio
40579, Libra
40579, Scorpio
40848, Scorpio
4090, Scorpio
40847, Scorpio
40575, Libra
04035, Scorpio
04035, Scorpio
36913, Scorpio
36068, Scorpio
36020, Scorpio
46025, Capricorn
40404, ERROR
04626, Aquarius
04271, Aquarius
05447, ERROR
04371, ERROR
40090, Capricorn
40571, ERROR
40728, ERROR
40665, ERROR
48406, ERROR
04314, Aries
40110, ERROR
40300, ERROR
40794, Virgo
04206, Aries
04199, Aries
04071, ERROR
04024, Aries
04288, ERROR
40092, Leo
40339, Virgo
46006, Capricorn
44102, Aries
04555, ERROR
04635, Leo
04625, Leo
46018, Virgo
04391, ERROR
46044, Gemini
46044, Gemini
04195, Scorpio
40395, Aries
04422, Leo
40655, Leo
40238, ERROR
40501, ERROR
40278, Libra
46122, Cancer
44122, Capricorn
44122, Capricorn
46088, Aquarius
40721, ERROR
40705, Capricorn
40705, Capricorn
44096, Capricorn
46051, Aquarius
40458, ERROR
40443, Capricorn
44064, Capricorn
40274, ERROR
40274, Capricorn
40158, ERROR
40139, Capricorn
40011, ERROR
46183, ERROR
46185, ERROR
46182, ERROR
46181, ERROR
46184, ERROR
46180, ERROR
40028, Capricorn
04565, ERROR
04564, Sagittarius
04382, ERROR
04395, Capricorn
04266, ERROR
04332, Capricorn
04000, Capricorn
04060, ERROR
04013, ERROR
04024, ERROR
04008, Virgo
04050, ERROR
04010, ERROR
04026, ERROR
04067, ERROR
04062, ERROR
04228, ERROR
04257, Capricorn
04204, Capricorn
04200, Capricorn
40655, Leo
None, ERROR
40624, Gemini
04506, ERROR
04409, ERROR
04412, ERROR
04243, Pisces
40161, Aquarius
48404, ERROR
04246, Aries
04300, ERROR
04032, Pisces
36045, Scorpio
04268, Pisces
04005, Taurus
04000, Capricorn
04022, Cancer
04026, Gemini
04025, Capricorn
04020, Taurus
04010, Scorpio
04021, Taurus
04015, Taurus
40359, Gemini
40341, Cancer
46035, ERROR
48402, ERROR
40368, Aries
44077, ERROR
04628, Aquarius
44043, Aquarius
48409, ERROR
40392, Capricorn
04362, Taurus
40380, Capricorn
40327, ERROR
44054, Taurus
04210, Leo
