style_number, astro_sign
36859, Gemini
37157, Gemini
36852, Gemini
36852, Gemini
36560, Capricorn
36418, Capricorn
36216, Capricorn
-, ERROR
36676, Virgo
36671, Taurus
36786, Leo
36674, Leo
36782, Libra
36670, Libra
36781, Gemini
36669, Gemini
36675, Sagittarius
36780, Pisces
36668, Pisces
36832, Cancer
37083, Cancer
37258, Scorpio
36872, Scorpio
07413, Aries
36293, Aries
37280, Aries
N/A, ERROR
09300, ERROR
04062, Aquarius
04549, ERROR
36948, Aries
35022, Virgo
36834, Virgo
37094, Virgo
37182, Virgo
37067, Taurus
37172, Taurus
36207, Libra
35029, ERROR
37225, Sagittarius
36258, Leo
42129, Aquarius
37048, Aries
36171, Aries
36557, Pisces
36415, Pisces
36213, Pisces
36884, Aquarius
37160, Aquarius
37226, Aquarius
36838, Leo
37075, Leo
37190, Leo
04381, Aries
47167, ERROR
41064, ERROR
, ERROR
37163, Cancer
36865, Cancer
35021, Leo
36833, Leo
37093, Leo
37181, Leo
36223, Sagittarius
37279, ERROR
36867, ERROR
36850, Cancer
35037, Taurus
36861, Taurus
37155, Taurus
36252, Leo
36288, Aries
6090, ERROR
37228, Taurus
37278, ERROR
36866, ERROR
37232, Aries
36829, Pisces
37090, Aquarius
37210, Aquarius
42286, Pisces
36250, Taurus
35211, Virgo
36891, Virgo
37266, Virgo
36898, Virgo
36842, Sagittarius
36855, Virgo
36411, Libra
36208, Libra
35216, Sagittarius
36423, Sagittarius
36220, Sagittarius
99991, Taurus
37079, Libra
37192, Libra
35210, Pisces
36892, Pisces
-, Pisces
-, Pisces
37262, Pisces
36848, Pisces
35011, Virgo
37205, Virgo
37142, Virgo
37220, Virgo
36259, Scorpio
35026, Libra
37144, Libra
37204, Libra
37222, Libra
37206, Leo
36843, Gemini
36566, Sagittarius
36751, Sagittarius
36428, Sagittarius
36256, Sagittarius
37152, Sagittarius
37247, Sagittarius
36438, Taurus
36432, Virgo
36263, Virgo
36431, Sagittarius
36262, Sagittarius
36436, Aries
36266, Aries
36437, Cancer
36267, Cancer
36434, Aquarius
36264, Aquarius
-, Aquarius
-, Aquarius
36439, Gemini
36269, Gemini
36430, Pisces
36261, Pisces
36268, Taurus
36270, Leo
36270, Leo
36435, Pisces
36265, Pisces
36429, Libra
36260, Libra
36883, Scorpio
36562, Libra
36420, Libra
36899, Libra
35213, Gemini
37273, Gemini
36153, Gemini
35034, Capricorn
37245, Capricorn
37150, Capricorn
37242, Capricorn
37184, Cancer
37187, Taurus
36199, Taurus
99998, Taurus
41275, ERROR
90256, ERROR
96336, ERROR
41300, ERROR
36253, Aries
36815, Virgo
36888, Pisces
37180, Scorpio
35012, Gemini
99997, Gemini
36837, Gemini
37074, Gemini
37189, Gemini
41177, ERROR
37257, Sagittarius
36871, Sagittarius
37259, Pisces
36878, Pisces
37153, Libra
37250, Libra
09307, ERROR
35031, Gemini
37071, Gemini
37061, Gemini
37173, Gemini
36559, Pisces
36417, Pisces
36215, Pisces
41217, Cancer
41216, Sagittarius
96317, ERROR
96316, ERROR
37274, Aries
37248, Scorpio
36412, Libra
36209, Libra
37197, Leo
99992, ERROR
36667, Gemini
37099, Libra
35205, Pisces
37256, Pisces
37164, Pisces
36869, Pisces
37213, Gemini
41276, ERROR
90250, ERROR
96319, ERROR
41208, ERROR
35207, Aries
36857, Aries
37166, Aries
37214, Aries
35033, Pisces
37233, Pisces
35218, Capricorn
36425, Capricorn
36222, Capricorn
36849, Aries
35215, Sagittarius
36410, Sagittarius
36219, Sagittarius
36841, Capricorn
35010, Taurus
37092, Taurus
37212, Taurus
37088, Gemini
37207, Gemini
37277, Taurus
37276, Taurus
35208, Capricorn
36890, Capricorn
37261, Capricorn
36877, Capricorn
35203, Sagittarius
37254, Sagittarius
37251, Sagittarius
37240, Sagittarius
37235, Libra
36565, Scorpio
37264, Scorpio
